idx,src,tgt,pred,prob
beam3,Iheardayounggirlcallforhelp.,J'aientenduunejeunefilleappeleràl'aide.,Jepensequevousaisdevousd'airententere.,tensor([-40.8572])
beam4,Iheardayounggirlcallforhelp.,J'aientenduunejeunefilleappeleràl'aide.,Jepensequevousaisdevousd'airendentere.,tensor([-40.9666])
beam0,ShallIhelpyou?,Devrais-jet'aider ?,Pourquois-jejevous?,tensor([-11.1110])
beam1,ShallIhelpyou?,Devrais-jet'aider ?,Pourquois-jej'ais-je?,tensor([-13.7427])
beam2,ShallIhelpyou?,Devrais-jet'aider ?,Pourquois-jejevousais?,tensor([-14.1185])
beam3,ShallIhelpyou?,Devrais-jet'aider ?,Pourquois-jejevous-je?,tensor([-14.3185])
beam4,ShallIhelpyou?,Devrais-jet'aider ?,Pourquois-jejevousair?,tensor([-14.5705])
beam0,Shegavehimallthemoneythatshehad.,Elleluiaremistoutl'argentdontelledisposait.,Elllelel'aimentpasdel'aille.,tensor([-30.5274])
beam1,Shegavehimallthemoneythatshehad.,Elleluiaremistoutl'argentdontelledisposait.,Elllelel'aimentpasdel'aillle.,tensor([-31.5847])
beam2,Shegavehimallthemoneythatshehad.,Elleluiaremistoutl'argentdontelledisposait.,Elllelel'aimentpasdel'aillemait.,tensor([-35.8795])
beam3,Shegavehimallthemoneythatshehad.,Elleluiaremistoutl'argentdontelledisposait.,Elllelel'aimentpasdel'ailllemait.,tensor([-37.0316])
beam4,Shegavehimallthemoneythatshehad.,Elleluiaremistoutl'argentdontelledisposait.,Elllelel'aimentpasdel'ailllemant.,tensor([-37.1896])
beam0,TompleadedguiltyinOctober.,Tomaplaidécoupableenoctobre.,Tomn'aitpasd'aitdentrait.,tensor([-30.6301])
beam1,TompleadedguiltyinOctober.,Tomaplaidécoupableenoctobre.,Tomn'aitpasd'aitdentronde.,tensor([-32.5972])
beam2,TompleadedguiltyinOctober.,Tomaplaidécoupableenoctobre.,Tomn'aitpasdestontrentrait.,tensor([-33.8027])
beam3,TompleadedguiltyinOctober.,Tomaplaidécoupableenoctobre.,Tomn'aitpasd'aitdentrondes.,tensor([-34.4652])
beam4,TompleadedguiltyinOctober.,Tomaplaidécoupableenoctobre.,Tomn'aitpasd'aitdentrondere.,tensor([-36.2679])
beam0,Letmeseewhatitlookslike.,Fais-moivoirdequoiçaal'air.,Ellessontrez-vouslez-vous.,tensor([-25.7531])
beam1,Letmeseewhatitlookslike.,Fais-moivoirdequoiçaal'air.,Ellessontrez-vouslez-vouslais.,tensor([-30.8555])
beam2,Letmeseewhatitlookslike.,Fais-moivoirdequoiçaal'air.,Ellessontrez-vouslez-vouslair.,tensor([-31.5738])
beam3,Letmeseewhatitlookslike.,Fais-moivoirdequoiçaal'air.,Ellessontrez-vouslez-vouslait.,tensor([-31.5824])
beam4,Letmeseewhatitlookslike.,Fais-moivoirdequoiçaal'air.,Ellessontrez-vouslez-vouslaire.,tensor([-33.1783])
beam0,Ilikecannedfruits.,J'aimelesfruitsenconserve.,J'aimentraispas.,tensor([-15.6735])
beam1,Ilikecannedfruits.,J'aimelesfruitsenconserve.,J'aimentraisd'ais.,tensor([-18.8790])
beam2,Ilikecannedfruits.,J'aimelesfruitsenconserve.,J'aimentraispasder.,tensor([-20.9078])
beam3,Ilikecannedfruits.,J'aimelesfruitsenconserve.,J'aimentraispasdentre.,tensor([-25.0196])
beam4,Ilikecannedfruits.,J'aimelesfruitsenconserve.,J'aimentraispasdentrais.,tensor([-27.6537])
beam0,Doyoufeellikeresting?,Éprouvez-vouslebesoindevousreposer ?,Vousêtez-vouspas?,tensor([-8.8596])
beam1,Doyoufeellikeresting?,Éprouvez-vouslebesoindevousreposer ?,Vousêtez-vousavous?,tensor([-10.4282])
beam2,Doyoufeellikeresting?,Éprouvez-vouslebesoindevousreposer ?,Vousêtez-vousavois?,tensor([-11.0606])
beam3,Doyoufeellikeresting?,Éprouvez-vouslebesoindevousreposer ?,Vousêtez-vousavouss?,tensor([-12.5204])
beam4,Doyoufeellikeresting?,Éprouvez-vouslebesoindevousreposer ?,Vousêtez-vousavousdez-vous?,tensor([-16.0069])
beam0,Don'tbetoohardonyourself.,Nesoispastropduravectoi-même.,Nevouspaslezpaspas!,tensor([-14.2162])
beam1,Don'tbetoohardonyourself.,Nesoispastropduravectoi-même.,Nevouspaslezpaspas!Nous!,tensor([-18.3654])
beam2,Don'tbetoohardonyourself.,Nesoispastropduravectoi-même.,Nevouspaslezpaspas!Nez!,tensor([-18.3681])
beam3,Don'tbetoohardonyourself.,Nesoispastropduravectoi-même.,Nevouspaslezpaspas!Nous.,tensor([-18.9175])
beam4,Don'tbetoohardonyourself.,Nesoispastropduravectoi-même.,Nevouspaslezpaspas!Nezpas!,tensor([-19.8587])
beam0,Yousaidyouweregoingtohandleit.,Tuasditquetuallaist'enoccuper.,Vousêtezvousvezvousvousdezvousvous.,tensor([-24.5582])
beam1,Yousaidyouweregoingtohandleit.,Tuasditquetuallaist'enoccuper.,Vousêtezvousvezvousvousdezvousavous.,tensor([-26.0553])
beam2,Yousaidyouweregoingtohandleit.,Tuasditquetuallaist'enoccuper.,Vousêtezvousvezvousvousdezvousdezvous.,tensor([-27.4097])
beam3,Yousaidyouweregoingtohandleit.,Tuasditquetuallaist'enoccuper.,Vousêtezvousvezvousvousdezvousdezvousair.,tensor([-31.2240])
beam4,Yousaidyouweregoingtohandleit.,Tuasditquetuallaist'enoccuper.,Vousêtezvousvezvousvousdezvousdezvousairez.,tensor([-33.1610])
beam0,Fillinthisapplicationformandsenditatonce.,Remplissezceformulairedecandidatureetenvoyez-leimmédiatement.,Lescontepasdecontententpourdesantitentendelantpoure.,tensor([-82.9343])
beam1,Fillinthisapplicationformandsenditatonce.,Remplissezceformulairedecandidatureetenvoyez-leimmédiatement.,Lescontepasdecontententpourdesantitentendelantpoures.,tensor([-84.4065])
beam2,Fillinthisapplicationformandsenditatonce.,Remplissezceformulairedecandidatureetenvoyez-leimmédiatement.,Lescontepasdecontententpourdesantitentendelantpouress.,tensor([-86.3687])
beam3,Fillinthisapplicationformandsenditatonce.,Remplissezceformulairedecandidatureetenvoyez-leimmédiatement.,Lescontepasdecontententpourdesantitentendelantpouressssessessentententes.,tensor([-122.8452])
beam4,Fillinthisapplicationformandsenditatonce.,Remplissezceformulairedecandidatureetenvoyez-leimmédiatement.,Lescontepasdecontententpourdesantitentendelantpouressssessessententententintes.,tensor([-134.1709])
beam0,CanhespeakJapanese?,Sait-ilparlerlejaponais?,Pourquevois-tupas?,tensor([-12.5744])
beam1,CanhespeakJapanese?,Sait-ilparlerlejaponais?,Pourquevois-tunepas?,tensor([-14.4991])
beam2,CanhespeakJapanese?,Sait-ilparlerlejaponais?,Pourquevois-tupasent-il?,tensor([-20.0478])
beam3,CanhespeakJapanese?,Sait-ilparlerlejaponais?,Pourquevois-tupasent-ile?,tensor([-21.2405])
beam4,CanhespeakJapanese?,Sait-ilparlerlejaponais?,Pourquevois-tupasent-ille?,tensor([-22.3084])
beam0,Areyoumentallyill?,Es-tuunmalademental?,Vousêtez-vousvous?,tensor([-7.2487])
beam1,Areyoumentallyill?,Es-tuunmalademental?,Vousêtez-vouspas?,tensor([-7.2831])
beam2,Areyoumentallyill?,Es-tuunmalademental?,Vousêtez-vousêtrez-vous?,tensor([-9.3044])
beam3,Areyoumentallyill?,Es-tuunmalademental?,Vousêtez-vousavous?,tensor([-8.3850])
beam4,Areyoumentallyill?,Es-tuunmalademental?,Vousêtez-vousêtres?,tensor([-9.3584])
beam0,Idon'trememberwhereyoulive.,Jenemerappellepasoùtuhabites.,Jenepeuxpasquevousmentrais.,tensor([-18.9803])
beam1,Idon'trememberwhereyoulive.,Jenemerappellepasoùtuhabites.,Jen'aipasquevousvousmentrais.,tensor([-21.4573])
beam2,Idon'trememberwhereyoulive.,Jenemerappellepasoùtuhabites.,Jen'aipasquevousvouspasmentrent.,tensor([-25.3869])
beam3,Idon'trememberwhereyoulive.,Jenemerappellepasoùtuhabites.,Jen'aipasquevousvouspasmententre.,tensor([-26.9524])
beam4,Idon'trememberwhereyoulive.,Jenemerappellepasoùtuhabites.,Jen'aipasquevousvouspasmententrer.,tensor([-28.6353])
beam0,Isupportyouonehundredpercent.,Jevoussoutiensàcentpourcent.,Jevousêtrevousvouspouspourdertouvous.,tensor([-37.5264])
beam1,Isupportyouonehundredpercent.,Jevoussoutiensàcentpourcent.,Jevousêtrevousvouspouspourdertouvoir.,tensor([-38.1233])
beam2,Isupportyouonehundredpercent.,Jevoussoutiensàcentpourcent.,Jevousêtrevousvouspouspourdertouvouss.,tensor([-39.6772])
beam3,Isupportyouonehundredpercent.,Jevoussoutiensàcentpourcent.,Jevousêtrevousvouspouspourdertouvours.,tensor([-39.8939])
beam4,Isupportyouonehundredpercent.,Jevoussoutiensàcentpourcent.,Jevousêtrevousvouspouspourdertouvousderte.,tensor([-45.7797])
beam0,Pleaseopenthewindow.,Ouvrelafenêtre,jeteprie!,Pez-vouslezpasl'avoirezpas.,tensor([-28.6985])
beam1,Pleaseopenthewindow.,Ouvrelafenêtre,jeteprie!,Pez-vouslezpasl'avoitezpas.,tensor([-28.8822])
beam2,Pleaseopenthewindow.,Ouvrelafenêtre,jeteprie!,Pez-vouslezpasl'avoirezpas!,tensor([-29.0049])
beam3,Pleaseopenthewindow.,Ouvrelafenêtre,jeteprie!,Pez-vouslezpasl'avoirezpous.,tensor([-30.4546])
beam4,Pleaseopenthewindow.,Ouvrelafenêtre,jeteprie!,Pez-vouslezpasl'avoirezpour.,tensor([-30.7569])
beam0,Whatwouldcausethis?,Qu'est-cequilecauserait?,Qu'avez-vousavous?,tensor([-10.1764])
beam1,Whatwouldcausethis?,Qu'est-cequilecauserait?,Qu'avez-vousquevous?,tensor([-11.0997])
beam2,Whatwouldcausethis?,Qu'est-cequilecauserait?,Qu'avez-vousquevousfait?,tensor([-14.7611])
beam3,Whatwouldcausethis?,Qu'est-cequilecauserait?,Qu'avez-vousquevousfair?,tensor([-14.9612])
beam4,Whatwouldcausethis?,Qu'est-cequilecauserait?,Qu'avez-vousquevousfaire?,tensor([-15.6407])
beam0,Cannedfooddoesn'tinteresther.,Lanourritureenconservenel'intéressepas.,Nen'aipaspaspaspasdentrondepas.,tensor([-29.6444])
beam1,Cannedfooddoesn'tinteresther.,Lanourritureenconservenel'intéressepas.,Nen'aipaspaspaspasdentrondespas.,tensor([-31.2188])
beam2,Cannedfooddoesn'tinteresther.,Lanourritureenconservenel'intéressepas.,Nen'aipaspaspaspasdentrondepaspas.,tensor([-32.8996])
beam3,Cannedfooddoesn'tinteresther.,Lanourritureenconservenel'intéressepas.,Nen'aipaspaspaspasdentrondepaspass.,tensor([-35.1445])
beam4,Cannedfooddoesn'tinteresther.,Lanourritureenconservenel'intéressepas.,Nen'aipaspaspaspasdentrondepaspasler.,tensor([-38.3981])
beam0,Who'sscreaming?,Quiestentraindehurler?,Qu'est-che?,tensor([-6.4828])
beam1,Who'sscreaming?,Quiestentraindehurler?,Qu'est-cequelle?,tensor([-8.9523])
beam2,Who'sscreaming?,Quiestentraindehurler?,Qu'est-cequellle?,tensor([-10.1129])
beam3,Who'sscreaming?,Quiestentraindehurler?,Qu'est-cequella?,tensor([-10.4835])
beam4,Who'sscreaming?,Quiestentraindehurler?,Qu'est-cequelles?,tensor([-10.8815])
beam0,Sincemynephewwasstillyoung,hewasletoffthehook.,Commemonneveuétaitencorejeune,ilaétéépargné.,Ellementpasquevousais,j'ailllenteraitentendemantentententraillle.,tensor([-88.6603])
beam1,Sincemynephewwasstillyoung,hewasletoffthehook.,Commemonneveuétaitencorejeune,ilaétéépargné.,Ellementpasquevousais,j'ailllenteraitentendemantentententraillais.,tensor([-90.1076])
beam2,Sincemynephewwasstillyoung,hewasletoffthehook.,Commemonneveuétaitencorejeune,ilaétéépargné.,Ellementpasquevousais,j'ailllenteraitentendemantentententraillles.,tensor([-90.4759])
beam3,Sincemynephewwasstillyoung,hewasletoffthehook.,Commemonneveuétaitencorejeune,ilaétéépargné.,Ellementpasquevousais,j'ailllenteraitentendemantentententraillent.,tensor([-90.6107])
beam4,Sincemynephewwasstillyoung,hewasletoffthehook.,Commemonneveuétaitencorejeune,ilaétéépargné.,Ellementpasquevousais,j'ailllenteraitentendemantentententraillentes.,tensor([-94.5620])
beam0,Don'tmentionourplantoanybody.,Neparledenotreplanàpersonne.,Nenepeuxpaspaspasezpas!,tensor([-15.4655])
beam1,Don'tmentionourplantoanybody.,Neparledenotreplanàpersonne.,Nenepeuxpaspaspasezpas!Nous!,tensor([-19.6774])
beam2,Don'tmentionourplantoanybody.,Neparledenotreplanàpersonne.,Nenepeuxpaspaspasezpas!Nous.,tensor([-19.9586])
beam3,Don'tmentionourplantoanybody.,Neparledenotreplanàpersonne.,Nenepeuxpaspasezpaspas!Nous!,tensor([-20.0373])
beam4,Don'tmentionourplantoanybody.,Neparledenotreplanàpersonne.,Nenepeuxpaspaspasezpas!Nezpas!,tensor([-20.8429])
beam0,Thatiscorrect.,C'estjuste.,C'estprère.,tensor([-7.8441])
beam1,Thatiscorrect.,C'estjuste.,C'estprèreche.,tensor([-12.0485])
beam2,Thatiscorrect.,C'estjuste.,C'estprèreste.,tensor([-12.5927])
beam3,Thatiscorrect.,C'estjuste.,C'estprèrestest.,tensor([-15.1861])
beam4,Thatiscorrect.,C'estjuste.,C'estprèrechest.,tensor([-15.1946])
beam0,Hetoldmeabouttheaccidentasifhehadseenitwithhisowneyes.,Ilmeracontal'accidentcommes'ill'avaitvudesespropresyeux.,Ilfaitd'aitd'aitd'aitd'aitdendellaitd'andesd'aillles.,tensor([-77.0443])
beam1,Hetoldmeabouttheaccidentasifhehadseenitwithhisowneyes.,Ilmeracontal'accidentcommes'ill'avaitvudesespropresyeux.,Ilfaitd'aitd'aitd'aitd'aitdendellaitd'andesd'aillleses.,tensor([-80.9670])
beam2,Hetoldmeabouttheaccidentasifhehadseenitwithhisowneyes.,Ilmeracontal'accidentcommes'ill'avaitvudesespropresyeux.,Ilfaitd'aitd'aitd'aitd'aitdendellaitd'andesd'ailllessesses.,tensor([-89.2113])
beam3,Hetoldmeabouttheaccidentasifhehadseenitwithhisowneyes.,Ilmeracontal'accidentcommes'ill'avaitvudesespropresyeux.,Ilfaitd'aitd'aitd'aitd'aitdendellaitd'andesd'ailllessesssessentententes.,tensor([-113.9228])
beam4,Hetoldmeabouttheaccidentasifhehadseenitwithhisowneyes.,Ilmeracontal'accidentcommes'ill'avaitvudesespropresyeux.,Ilfaitd'aitd'aitd'aitd'aitdendellaitd'andesd'ailllessesssessententententes.,tensor([-119.3781])
beam0,We'reheadedintherightdirection.,Nousnousdirigeonsdanslabonnedirection.,Noussommmenspasdesontres.,tensor([-22.3528])
beam1,We'reheadedintherightdirection.,Nousnousdirigeonsdanslabonnedirection.,Noussommmenspasdesonssons.,tensor([-23.3590])
beam2,We'reheadedintherightdirection.,Nousnousdirigeonsdanslabonnedirection.,Noussommmenspassonssontres.,tensor([-24.6958])
beam3,We'reheadedintherightdirection.,Nousnousdirigeonsdanslabonnedirection.,Noussommmenspasdesonssontre.,tensor([-26.3790])
beam4,We'reheadedintherightdirection.,Nousnousdirigeonsdanslabonnedirection.,Noussommmenspasdesonssontres.,tensor([-27.0855])
beam0,TomputhiseartothedoorinanefforttooverhearwhatMarywassayingonthephone.,Tommitsonoreillecontrelaporteafind'entendrecequeMariedisaitautéléphone.,Tomn'aparMaitMarMaitMaitdeMaitMareMaitdeMaireMaitMaireMaireMaire.,tensor([-87.7449])
beam1,TomputhiseartothedoorinanefforttooverhearwhatMarywassayingonthephone.,Tommitsonoreillecontrelaporteafind'entendrecequeMariedisaitautéléphone.,Tomn'aparMaitMarMaitMaitdeMaitMareMaitdeMaireMaitMaireMaireMaireMaire.,tensor([-95.8958])
beam2,TomputhiseartothedoorinanefforttooverhearwhatMarywassayingonthephone.,Tommitsonoreillecontrelaporteafind'entendrecequeMariedisaitautéléphone.,Tomn'aparMaitMarMaitMaitdeMaitMareMaitdeMaireMaitMaireMaireMaireManterereMaire.,tensor([-112.0443])
beam3,TomputhiseartothedoorinanefforttooverhearwhatMarywassayingonthephone.,Tommitsonoreillecontrelaporteafind'entendrecequeMariedisaitautéléphone.,Tomn'aparMaitMarMaitMaitdeMaitMareMaitdeMaireMaitMaireMaireMaireManterereMaireMaire.,tensor([-120.2241])
beam4,TomputhiseartothedoorinanefforttooverhearwhatMarywassayingonthephone.,Tommitsonoreillecontrelaporteafind'entendrecequeMariedisaitautéléphone.,Tomn'aparMaitMarMaitMaitdeMaitMareMaitdeMaireMaitMaireMaireMaireManterereMaireMairerere.,tensor([-128.1976])
beam0,Don'ttellmygirlfriend.,Nedisrienàmapetiteamie!,Nepouspaslezpas!,tensor([-12.5152])
beam1,Don'ttellmygirlfriend.,Nedisrienàmapetiteamie!,Nepezpasdezpas!Nous!,tensor([-15.4951])
beam2,Don'ttellmygirlfriend.,Nedisrienàmapetiteamie!,Nepouspaslezpas!Nous!,tensor([-16.1423])
beam3,Don'ttellmygirlfriend.,Nedisrienàmapetiteamie!,Nepouspaslezpas!Nommmez!,tensor([-18.7859])
beam4,Don'ttellmygirlfriend.,Nedisrienàmapetiteamie!,Nepezpasdezpas!Nous!Nous!,tensor([-19.4317])
beam0,SomeonestoleTom'sbicycle.,Quelqu'unavolélevélodeTom.,Tomn'estpasqueTompasqueTompas.,tensor([-16.6132])
beam1,SomeonestoleTom'sbicycle.,Quelqu'unavolélevélodeTom.,Tomn'estpasqueTompasqueTomment.,tensor([-17.9432])
beam2,SomeonestoleTom'sbicycle.,Quelqu'unavolélevélodeTom.,Tomn'estpasqueTompasqueTommment.,tensor([-18.6034])
beam3,SomeonestoleTom'sbicycle.,Quelqu'unavolélevélodeTom.,Tomn'estpasqueTommpasqueTommment.,tensor([-19.9383])
beam4,SomeonestoleTom'sbicycle.,Quelqu'unavolélevélodeTom.,Tomn'estpasqueTompasqueTommmentent.,tensor([-22.6045])
beam0,I'mlayingyouoff.,Jetelicencie.,Jevousêtrevous.,tensor([-9.6708])
beam1,I'mlayingyouoff.,Jetelicencie.,Jevousêtezvous.,tensor([-9.9474])
beam2,I'mlayingyouoff.,Jetelicencie.,Jevousaisdevous.,tensor([-10.9204])
beam3,I'mlayingyouoff.,Jetelicencie.,Jevousêtrevousais.,tensor([-12.9040])
beam4,I'mlayingyouoff.,Jetelicencie.,Jevousêtrevousair.,tensor([-13.7661])
beam0,Whydon'tyouhaveagirlfriend?,Pourquoin'as-tupasdepetiteamie?,Pourquoinez-vousavouspas?,tensor([-13.0621])
beam1,Whydon'tyouhaveagirlfriend?,Pourquoin'as-tupasdepetiteamie?,Pourquoinez-vousquevouspas?,tensor([-14.0434])
beam2,Whydon'tyouhaveagirlfriend?,Pourquoin'as-tupasdepetiteamie?,Pourquoinez-vouspas-vouspas?,tensor([-14.7826])
beam3,Whydon'tyouhaveagirlfriend?,Pourquoin'as-tupasdepetiteamie?,Pourquoinez-vousquevouspaspas?,tensor([-16.2496])
beam4,Whydon'tyouhaveagirlfriend?,Pourquoin'as-tupasdepetiteamie?,Pourquoinez-vousquevouspasas?,tensor([-16.0112])
beam0,I'mnotgoingtoarguewithyou.,Jenevaispasmedisputeravectoi!,Jeneveuxpasquevousvous.,tensor([-11.8695])
beam1,I'mnotgoingtoarguewithyou.,Jenevaispasmedisputeravectoi!,Jeneveuxpasquevousvousvous.,tensor([-14.6451])
beam2,I'mnotgoingtoarguewithyou.,Jenevaispasmedisputeravectoi!,Jeneveuxpasquevousvousavous.,tensor([-16.6275])
beam3,I'mnotgoingtoarguewithyou.,Jenevaispasmedisputeravectoi!,Jeneveuxpasquevousvousvousez.,tensor([-17.8229])
beam4,I'mnotgoingtoarguewithyou.,Jenevaispasmedisputeravectoi!,Jeneveuxpasquevousvousvousezpas.,tensor([-20.0245])
beam0,IthinkI'dliketobeyourfriend.,Jepensequej'aimeraisêtretonamie.,Jepensequej'aispasquejej'aispas.,tensor([-16.4489])
beam1,IthinkI'dliketobeyourfriend.,Jepensequej'aimeraisêtretonamie.,Jepensequej'aispasquejevouspas.,tensor([-16.3071])
beam2,IthinkI'dliketobeyourfriend.,Jepensequej'aimeraisêtretonamie.,Jepensequej'aispasquejejevouspas.,tensor([-17.3356])
beam3,IthinkI'dliketobeyourfriend.,Jepensequej'aimeraisêtretonamie.,Jepensequej'aispasquejejevouspassezpas.,tensor([-24.9617])
beam4,IthinkI'dliketobeyourfriend.,Jepensequej'aimeraisêtretonamie.,Jepensequej'aispasquejejevouspassezpass.,tensor([-27.3951])
beam0,Sheadoreshim.,Ellelevénère.,Elllelesontre.,tensor([-13.7322])
beam1,Sheadoreshim.,Ellelevénère.,Elllelesontrais.,tensor([-15.9289])
beam2,Sheadoreshim.,Ellelevénère.,Elllelesontrait.,tensor([-16.1420])
beam3,Sheadoreshim.,Ellelevénère.,Elllelesontdeles.,tensor([-18.4520])
beam4,Sheadoreshim.,Ellelevénère.,Elllelesontdel'ait.,tensor([-20.3897])
beam0,Tomputonhisbackpack.,Tomamissonsacàdos.,Tomn'estpasparche.,tensor([-17.5954])
beam1,Tomputonhisbackpack.,Tomamissonsacàdos.,Tomn'estpasdechait.,tensor([-18.7480])
beam2,Tomputonhisbackpack.,Tomamissonsacàdos.,Tomn'estpasdechair.,tensor([-19.0464])
beam3,Tomputonhisbackpack.,Tomamissonsacàdos.,Tomn'estpasdechaire.,tensor([-20.0984])
beam4,Tomputonhisbackpack.,Tomamissonsacàdos.,Tomn'estpasdechaite.,tensor([-20.2631])
beam0,Youcanalwayscountonhiminanyemergency.,Vouspouveztoujourscomptersurluiencasd'urgence.,Vousnezvouspasquevousvousvezvousvousdezvousvousdezvousvous.,tensor([-48.6402])
beam1,Youcanalwayscountonhiminanyemergency.,Vouspouveztoujourscomptersurluiencasd'urgence.,Vousnezvouspasquevousvousvezvousvousdezvousvousdezvousvousezvous.,tensor([-55.4712])
beam2,Youcanalwayscountonhiminanyemergency.,Vouspouveztoujourscomptersurluiencasd'urgence.,Vousnezvouspasquevousvousvezvousvousdezvousvousdezvousvousezvousezvous.,tensor([-62.5800])
beam3,Youcanalwayscountonhiminanyemergency.,Vouspouveztoujourscomptersurluiencasd'urgence.,Vousnezvouspasquevousvousvezvousvousdezvousvousdezvousvousezvousezvouss.,tensor([-65.1165])
beam4,Youcanalwayscountonhiminanyemergency.,Vouspouveztoujourscomptersurluiencasd'urgence.,Vousnezvouspasquevousvousvezvousvousdezvousvousdezvousvousezvousezvousezprezprezpous.,tensor([-81.5735])
beam0,Sorry,Icouldn'tcatchwhatyousaid.,Désolé,jen'aipascompriscequevousavezdit.,Jevousais,j'ais,j'ais,j'ais,j'ais,j'aire.,tensor([-39.5443])
beam1,Sorry,Icouldn'tcatchwhatyousaid.,Désolé,jen'aipascompriscequevousavezdit.,Jevousais,j'ais,j'aispas,j'ais,j'ais,j'ais.,tensor([-41.0602])
beam2,Sorry,Icouldn'tcatchwhatyousaid.,Désolé,jen'aipascompriscequevousavezdit.,Jevousais,j'ais,j'aispas,j'ais,j'ais,j'ait.,tensor([-41.2239])
beam3,Sorry,Icouldn'tcatchwhatyousaid.,Désolé,jen'aipascompriscequevousavezdit.,Jevousais,j'ais,j'aispas,j'ais,j'ais,j'air.,tensor([-41.3934])
beam4,Sorry,Icouldn'tcatchwhatyousaid.,Désolé,jen'aipascompriscequevousavezdit.,Jevousais,j'ais,j'aispas,j'ais,j'ais,j'ais,jer.,tensor([-47.1640])
beam0,Ihaveaterribletoothache.,J'aiunmaldedentsatroce.,J'aimentraispardechais.,tensor([-24.8495])
beam1,Ihaveaterribletoothache.,J'aiunmaldedentsatroce.,J'aimentraispardechair.,tensor([-25.0853])
beam2,Ihaveaterribletoothache.,J'aiunmaldedentsatroce.,J'aimentraispardechour.,tensor([-25.1815])
beam3,Ihaveaterribletoothache.,J'aiunmaldedentsatroce.,J'aimentraispardechait.,tensor([-25.2063])
beam4,Ihaveaterribletoothache.,J'aiunmaldedentsatroce.,J'aimentraispardecourde.,tensor([-27.1096])
beam0,Shouldn'twegonow?,Nedevrions-nouspasyallermaintenant?,Pourquoinez-vouspas?,tensor([-9.2339])
beam1,Shouldn'twegonow?,Nedevrions-nouspasyallermaintenant?,Pourquoinez-vousvous?,tensor([-9.9508])
beam2,Shouldn'twegonow?,Nedevrions-nouspasyallermaintenant?,Pourquoinez-vousavous?,tensor([-10.3251])
beam3,Shouldn'twegonow?,Nedevrions-nouspasyallermaintenant?,Pourquoinez-vousquevous?,tensor([-11.7429])
beam4,Shouldn'twegonow?,Nedevrions-nouspasyallermaintenant?,Pourquoinez-vousquevousais?,tensor([-14.7128])
beam0,Ihadnootherchoicebuttodoit.,Jen'aieud'autrechoixquedelefaire.,Jepensequevousfairechais.,tensor([-16.9868])
beam1,Ihadnootherchoicebuttodoit.,Jen'aieud'autrechoixquedelefaire.,Jepensequevousfairezpasd'air.,tensor([-21.4506])
beam2,Ihadnootherchoicebuttodoit.,Jen'aieud'autrechoixquedelefaire.,Jepensequevousfairezpasdechair.,tensor([-23.2967])
beam3,Ihadnootherchoicebuttodoit.,Jen'aieud'autrechoixquedelefaire.,Jepensequevousfairezpasdechoir.,tensor([-23.2988])
beam4,Ihadnootherchoicebuttodoit.,Jen'aieud'autrechoixquedelefaire.,Jepensequevousfairezpasdechais.,tensor([-23.6862])
beam0,Pleasedonotsmokehere.,Mercidenepasfumerici.,Vez-vouslezpasd'aillle.,tensor([-22.7195])
beam1,Pleasedonotsmokehere.,Mercidenepasfumerici.,Vez-vouslezpasd'ailller.,tensor([-24.6066])
beam2,Pleasedonotsmokehere.,Mercidenepasfumerici.,Vez-vouslezpasd'ailllement.,tensor([-27.9748])
beam3,Pleasedonotsmokehere.,Mercidenepasfumerici.,Vez-vouslezpasd'ailllemer.,tensor([-27.4884])
beam4,Pleasedonotsmokehere.,Mercidenepasfumerici.,Vez-vouslezpasd'ailllement!,tensor([-28.6536])
beam0,I'munconvinced.,Jenesuispasconvaincue.,Jenesuispascons.,tensor([-10.6309])
beam1,I'munconvinced.,Jenesuispasconvaincue.,Jenesuispasentre.,tensor([-11.5622])
beam2,I'munconvinced.,Jenesuispasconvaincue.,Jenesuispasconte.,tensor([-11.9805])
beam3,I'munconvinced.,Jenesuispasconvaincue.,Jenesuispasentrent.,tensor([-14.3654])
beam4,I'munconvinced.,Jenesuispasconvaincue.,Jenesuispasentrente.,tensor([-16.1252])
beam0,Theydidnotwanttospendmuchtimetalkingaboutit.,Ellesnevoulaientpaspasserbeaucoupdetempsàenparler.,Iln'avaitpasdemontrendemantdendentrandemantdendentrande.,tensor([-81.0207])
beam1,Theydidnotwanttospendmuchtimetalkingaboutit.,Ellesnevoulaientpaspasserbeaucoupdetempsàenparler.,Iln'avaitpasdemontrendemantdendentrandemantdendentrandes.,tensor([-82.8131])
beam2,Theydidnotwanttospendmuchtimetalkingaboutit.,Ellesnevoulaientpaspasserbeaucoupdetempsàenparler.,Iln'avaitpasdemontrendemantdendentrandemantdendentrandentrande.,tensor([-93.6628])
beam3,Theydidnotwanttospendmuchtimetalkingaboutit.,Ellesnevoulaientpaspasserbeaucoupdetempsàenparler.,Iln'avaitpasdemontrendemantdendentrandemantdendentrandentrandes.,tensor([-95.4853])
beam4,Theydidnotwanttospendmuchtimetalkingaboutit.,Ellesnevoulaientpaspasserbeaucoupdetempsàenparler.,Iln'avaitpasdemontrendemantdendentrandemantdendentrandentrandentes.,tensor([-101.6926])
beam0,Wearehere.,Nousysommes.,Noussommmons.,tensor([-5.6031])
beam1,Wearehere.,Nousysommes.,Noussommmessons.,tensor([-6.6667])
beam2,Wearehere.,Nousysommes.,Noussommmmessons.,tensor([-8.3456])
